No,feature_name,japanese_meaning,calculation_method,source_data,history_window,category,code_location,includes_maiden_history,related_features,gain_importance,split_importance,human_decision,calculation_detail_status,duplicate_name_count,input_column_type
16,last2_margin,対象馬の前々走における margin,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin,0.0,0.0,,CODE_TRACED,1,raw feature
17,last3_margin,対象馬の3走前における margin,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin,0.0,0.0,,CODE_TRACED,1,raw feature
18,best_margin_last3,対象馬の直近3走についてbest margin last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,best_margin_lastN,511.73878479003906,3.0,,CODE_TRACED,1,raw feature
19,mean_margin_last3,対象馬の直近3走についてmean margin last3を集約した値,直近3走の履歴値を対象に平均。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,mean_margin_lastN,10285.308313369751,31.0,,CODE_TRACED,1,raw feature
20,weighted_margin_last3,対象馬の直近3走についてweighted margin last3を集約した値,"直近3走の履歴値を対象に重み付き平均（0.5,0.3,0.2）。履歴不足時は空配列の既定値0.0。",対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,weighted_margin_lastN,7361.657505989075,44.0,,CODE_TRACED,1,raw feature
21,last1_winner_strength,対象馬の直近3走についてlast1 winner strengthを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_strength,90.80509948730469,1.0,,CODE_TRACED,1,raw feature
22,last2_winner_strength,対象馬の直近3走についてlast2 winner strengthを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_strength,0.0,0.0,,CODE_TRACED,1,raw feature
23,last3_winner_strength,対象馬の直近3走についてlast3 winner strengthを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_strength,17.844499588012695,1.0,,CODE_TRACED,1,raw feature
24,last1_field_strength,対象馬の直近3走についてlast1 field strengthを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_field_strength,197.92109870910645,6.0,,CODE_TRACED,1,raw feature
25,last2_field_strength,対象馬の直近3走についてlast2 field strengthを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_field_strength,29.57110023498535,1.0,,CODE_TRACED,1,raw feature
26,last3_field_strength,対象馬の直近3走についてlast3 field strengthを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_field_strength,377.1798973083496,6.0,,CODE_TRACED,1,raw feature
27,margin_x_winner_strength,コード上の特徴量 margin_x_winner_strength,build_v1_featuresのvalues辞書から取得（詳細式は該当ブロックを参照）。,build_v1_featuresの入力行・履歴,当該レースまたは過去履歴（名称から一意に確定不可）,Recent Performance,src/backtest.py:932-1030,YES,margin_x_winner_strength,83.40409851074219,1.0,,CODE_TRACED,1,raw feature
28,margin_x_field_strength,コード上の特徴量 margin_x_field_strength,build_v1_featuresのvalues辞書から取得（詳細式は該当ブロックを参照）。,build_v1_featuresの入力行・履歴,当該レースまたは過去履歴（名称から一意に確定不可）,Recent Performance,src/backtest.py:932-1030,YES,margin_x_field_strength,2127.6723985671997,22.0,,CODE_TRACED,1,raw feature
29,last1_distance,対象馬の前走における distance,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Distance,src/backtest.py:963-1030,YES,lastN_distance,2302.6512126922607,39.0,,CODE_TRACED,1,raw feature
30,last2_distance,対象馬の前々走における distance,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Distance,src/backtest.py:963-1030,YES,lastN_distance,208.28559684753418,5.0,,CODE_TRACED,1,raw feature
31,last3_distance,対象馬の3走前における distance,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Distance,src/backtest.py:963-1030,YES,lastN_distance,88.91990280151367,2.0,,CODE_TRACED,1,raw feature
32,current_distance,当該レースの距離,race_Kyori/Kyori または同一レース行数を使用。,当該レースのrace_Kyori/Kyori,当該レース,Distance,"src/backtest.py:821-823,src/backtest.py:874-875",UNKNOWN,current_distance,3081.3933181762695,66.0,,CODE_TRACED,1,raw feature
33,field_size,当該レースの出走頭数,race_Kyori/Kyori または同一レース行数を使用。,当該レースの全馬行,当該レース,Race Composition,"src/backtest.py:821-823,src/backtest.py:874-875",N/A,field_size,16500.95827293396,131.0,,CODE_TRACED,1,raw feature
34,last1_winner_strength_v2,対象馬の直近3走についてlast1 winner strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_strength_v2,17.126100540161133,1.0,,CODE_TRACED,1,raw feature
35,last2_winner_strength_v2,対象馬の直近3走についてlast2 winner strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_strength_v2,28.200300216674805,1.0,,CODE_TRACED,1,raw feature
36,last3_winner_strength_v2,対象馬の直近3走についてlast3 winner strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_strength_v2,69.08539962768555,3.0,,CODE_TRACED,1,raw feature
37,last1_field_strength_v2,対象馬の直近3走についてlast1 field strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_field_strength_v2,592.1326007843018,9.0,,CODE_TRACED,1,raw feature
38,last2_field_strength_v2,対象馬の直近3走についてlast2 field strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_field_strength_v2,398.95190238952637,9.0,,CODE_TRACED,1,raw feature
39,last3_field_strength_v2,対象馬の直近3走についてlast3 field strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_field_strength_v2,240.76190662384033,5.0,,CODE_TRACED,1,raw feature
40,last1_margin_x_winner_strength_v2,対象馬の前走における margin x winner strength v2,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_winner_strength_v2,2706.604528427124,14.0,,CODE_TRACED,1,raw feature
41,last2_margin_x_winner_strength_v2,対象馬の前々走における margin x winner strength v2,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_winner_strength_v2,39.96590042114258,1.0,,CODE_TRACED,1,raw feature
42,last3_margin_x_winner_strength_v2,対象馬の3走前における margin x winner strength v2,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin_x_winner_strength_v2,0.0,0.0,,CODE_TRACED,1,raw feature
43,max_winner_strength_last3,対象馬の直近3走についてmax winner strength last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,max_winner_strength_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
44,mean_winner_strength_last3,対象馬の直近3走についてmean winner strength last3を集約した値,直近3走の履歴値を対象に平均。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,mean_winner_strength_lastN,276.39050102233887,6.0,,CODE_TRACED,1,raw feature
45,weighted_winner_strength_last3,対象馬の直近3走についてweighted winner strength last3を集約した値,"直近3走の履歴値を対象に重み付き平均（0.5,0.3,0.2）。履歴不足時は空配列の既定値0.0。",対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,weighted_winner_strength_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
46,best_strong_opponent_performance_last3,対象馬の直近3走についてbest strong opponent performance last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,best_strong_opponent_performance_lastN,8930.00468635559,44.0,,CODE_TRACED,1,raw feature
47,last1_field_max_strength_v2,対象馬の直近3走についてlast1 field max strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Other,src/backtest.py:963-1020,YES,lastN_field_max_strength_v2,28.369699478149414,1.0,,CODE_TRACED,1,raw feature
48,last2_field_max_strength_v2,対象馬の直近3走についてlast2 field max strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Other,src/backtest.py:963-1020,YES,lastN_field_max_strength_v2,74.66485118865967,3.0,,CODE_TRACED,1,raw feature
49,last3_field_max_strength_v2,対象馬の直近3走についてlast3 field max strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Other,src/backtest.py:963-1020,YES,lastN_field_max_strength_v2,44.51259994506836,3.0,,CODE_TRACED,1,raw feature
50,last1_field_top3_mean_strength_v2,対象馬の直近3走についてlast1 field top3 mean strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Other,src/backtest.py:963-1020,YES,lastN_field_top3_mean_strength_v2,1820.2678899765015,38.0,,CODE_TRACED,1,raw feature
51,last2_field_top3_mean_strength_v2,対象馬の直近3走についてlast2 field top3 mean strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Other,src/backtest.py:963-1020,YES,lastN_field_top3_mean_strength_v2,718.4754981994629,17.0,,CODE_TRACED,1,raw feature
52,last3_field_top3_mean_strength_v2,対象馬の直近3走についてlast3 field top3 mean strength v2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Other,src/backtest.py:963-1020,YES,lastN_field_top3_mean_strength_v2,1118.5353031158447,19.0,,CODE_TRACED,1,raw feature
53,opponent_history_missing_last3,対象馬の直近3走についてopponent history missing last3を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,opponent_history_missing_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
54,last1_winner_max_race_class_before_target,対象馬の前走における winner max race class before target,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_max_race_class_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
55,last2_winner_max_race_class_before_target,対象馬の前々走における winner max race class before target,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_max_race_class_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
56,last3_winner_max_race_class_before_target,対象馬の3走前における winner max race class before target,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_max_race_class_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
57,last1_winner_best_win_class_before_target,対象馬の直近3走についてlast1 winner best win class before targetを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_best_win_class_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
58,last2_winner_best_win_class_before_target,対象馬の直近3走についてlast2 winner best win class before targetを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_best_win_class_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
59,last3_winner_best_win_class_before_target,対象馬の直近3走についてlast3 winner best win class before targetを集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Opponent / Winner Strength,src/backtest.py:963-1020,YES,lastN_winner_best_win_class_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
60,last1_winner_max_prize_before_target,対象馬の前走における winner max prize before target,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_max_prize_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
61,last2_winner_max_prize_before_target,対象馬の前々走における winner max prize before target,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_max_prize_before_target,16.16659927368164,1.0,,CODE_TRACED,1,raw feature
62,last3_winner_max_prize_before_target,対象馬の3走前における winner max prize before target,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_max_prize_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
63,last1_winner_mean_prize_before_target,対象馬の前走における winner mean prize before target,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_mean_prize_before_target,11.805999755859375,1.0,,CODE_TRACED,1,raw feature
64,last2_winner_mean_prize_before_target,対象馬の前々走における winner mean prize before target,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_mean_prize_before_target,0.0,0.0,,CODE_TRACED,1,raw feature
65,last3_winner_mean_prize_before_target,対象馬の3走前における winner mean prize before target,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Opponent / Winner Strength,src/backtest.py:963-1030,YES,lastN_winner_mean_prize_before_target,19.326799392700195,1.0,,CODE_TRACED,1,raw feature
66,last1_raw_performance,対象馬の前走における raw performance,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_raw_performance,132143.1885471344,36.0,,CODE_TRACED,1,raw feature
67,last2_raw_performance,対象馬の前々走における raw performance,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_raw_performance,6879.94980430603,33.0,,CODE_TRACED,1,raw feature
68,last3_raw_performance,対象馬の3走前における raw performance,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_raw_performance,337.6285037994385,6.0,,CODE_TRACED,1,raw feature
69,last1_position_advantage,対象馬の前走における position advantage,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_position_advantage,265.7129955291748,6.0,,CODE_TRACED,1,raw feature
70,last2_position_advantage,対象馬の前々走における position advantage,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_position_advantage,869.2403936386108,26.0,,CODE_TRACED,1,raw feature
71,last3_position_advantage,対象馬の3走前における position advantage,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_position_advantage,409.414005279541,12.0,,CODE_TRACED,1,raw feature
72,last1_adjusted_performance,対象馬の前走における adjusted performance,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_adjusted_performance,2667.3683280944824,19.0,,CODE_TRACED,1,raw feature
73,last2_adjusted_performance,対象馬の前々走における adjusted performance,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_adjusted_performance,2307.9833965301514,19.0,,CODE_TRACED,1,raw feature
74,last3_adjusted_performance,対象馬の3走前における adjusted performance,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_adjusted_performance,210.42150497436523,3.0,,CODE_TRACED,1,raw feature
75,best_adjusted_performance_last3,対象馬の直近3走についてbest adjusted performance last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,best_adjusted_performance_lastN,2727.0938720703125,21.0,,CODE_TRACED,1,raw feature
76,mean_adjusted_performance_last3,対象馬の直近3走についてmean adjusted performance last3を集約した値,直近3走の履歴値を対象に平均。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,mean_adjusted_performance_lastN,59191.32723617554,90.0,,CODE_TRACED,1,raw feature
77,weighted_adjusted_performance_last3,対象馬の直近3走についてweighted adjusted performance last3を集約した値,"直近3走の履歴値を対象に重み付き平均（0.5,0.3,0.2）。履歴不足時は空配列の既定値0.0。",対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,weighted_adjusted_performance_lastN,1273.1373805999756,17.0,,CODE_TRACED,1,raw feature
78,hidden_strength_last1,対象馬の直近3走についてhidden strength last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,hidden_strength_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
79,hidden_strength_last2,対象馬の直近3走についてhidden strength last2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,hidden_strength_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
80,hidden_strength_last3,対象馬の直近3走についてhidden strength last3を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,hidden_strength_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
81,max_hidden_strength_last3,対象馬の直近3走についてmax hidden strength last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,max_hidden_strength_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
82,max_strong_against_bias_last3,対象馬の直近3走についてmax strong against bias last3を集約した値,直近3走の履歴値を対象にmax。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,max_strong_against_bias_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
83,strong_against_bias_last1,対象馬の直近3走についてstrong against bias last1を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,strong_against_bias_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
84,strong_against_bias_last2,対象馬の直近3走についてstrong against bias last2を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,strong_against_bias_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
85,strong_against_bias_last3,対象馬の直近3走についてstrong against bias last3を集約した値,直近3走の履歴値を対象に直近3走の派生値。履歴不足時は空配列の既定値0.0。,対象馬の過去3レース結果,直近3走,Recent Performance,src/backtest.py:963-1020,YES,strong_against_bias_lastN,0.0,0.0,,CODE_TRACED,1,raw feature
